"1","1","add_logentry","Can add log entry"
"2","1","change_logentry","Can change log entry"
"3","1","delete_logentry","Can delete log entry"
"4","1","view_logentry","Can view log entry"
"5","2","add_permission","Can add permission"
"6","2","change_permission","Can change permission"
"7","2","delete_permission","Can delete permission"
"8","2","view_permission","Can view permission"
"9","3","add_group","Can add group"
"10","3","change_group","Can change group"
"11","3","delete_group","Can delete group"
"12","3","view_group","Can view group"
"13","4","add_user","Can add user"
"14","4","change_user","Can change user"
"15","4","delete_user","Can delete user"
"16","4","view_user","Can view user"
"17","5","add_contenttype","Can add content type"
"18","5","change_contenttype","Can change content type"
"19","5","delete_contenttype","Can delete content type"
"20","5","view_contenttype","Can view content type"
"21","6","add_session","Can add session"
"22","6","change_session","Can change session"
"23","6","delete_session","Can delete session"
"24","6","view_session","Can view session"
"25","7","add_assessment_t","Can add assessment_t"
"26","7","change_assessment_t","Can change assessment_t"
"27","7","delete_assessment_t","Can delete assessment_t"
"28","7","view_assessment_t","Can view assessment_t"
"29","8","add_course_t","Can add course_t"
"30","8","change_course_t","Can change course_t"
"31","8","delete_course_t","Can delete course_t"
"32","8","view_course_t","Can view course_t"
"33","9","add_department_t","Can add department_t"
"34","9","change_department_t","Can change department_t"
"35","9","delete_department_t","Can delete department_t"
"36","9","view_department_t","Can view department_t"
"37","10","add_faculty_t","Can add faculty_t"
"38","10","change_faculty_t","Can change faculty_t"
"39","10","delete_faculty_t","Can delete faculty_t"
"40","10","view_faculty_t","Can view faculty_t"
"41","11","add_program_t","Can add program_t"
"42","11","change_program_t","Can change program_t"
"43","11","delete_program_t","Can delete program_t"
"44","11","view_program_t","Can view program_t"
"45","12","add_school_t","Can add school_t"
"46","12","change_school_t","Can change school_t"
"47","12","delete_school_t","Can delete school_t"
"48","12","view_school_t","Can view school_t"
"49","13","add_vc_t","Can add v c_t"
"50","13","change_vc_t","Can change v c_t"
"51","13","delete_vc_t","Can delete v c_t"
"52","13","view_vc_t","Can view v c_t"
"53","14","add_student_t","Can add student_t"
"54","14","change_student_t","Can change student_t"
"55","14","delete_student_t","Can delete student_t"
"56","14","view_student_t","Can view student_t"
"57","15","add_section_t","Can add section_t"
"58","15","change_section_t","Can change section_t"
"59","15","delete_section_t","Can delete section_t"
"60","15","view_section_t","Can view section_t"
"61","16","add_registration_t","Can add registration_t"
"62","16","change_registration_t","Can change registration_t"
"63","16","delete_registration_t","Can delete registration_t"
"64","16","view_registration_t","Can view registration_t"
"65","17","add_prereqcourse_t","Can add prereq course_t"
"66","17","change_prereqcourse_t","Can change prereq course_t"
"67","17","delete_prereqcourse_t","Can delete prereq course_t"
"68","17","view_prereqcourse_t","Can view prereq course_t"
"69","18","add_plo_t","Can add pl o_t"
"70","18","change_plo_t","Can change pl o_t"
"71","18","delete_plo_t","Can delete pl o_t"
"72","18","view_plo_t","Can view pl o_t"
"73","19","add_head_t","Can add head_t"
"74","19","change_head_t","Can change head_t"
"75","19","delete_head_t","Can delete head_t"
"76","19","view_head_t","Can view head_t"
"77","20","add_evaluation_t","Can add evaluation_t"
"78","20","change_evaluation_t","Can change evaluation_t"
"79","20","delete_evaluation_t","Can delete evaluation_t"
"80","20","view_evaluation_t","Can view evaluation_t"
"81","21","add_dean_t","Can add dean_t"
"82","21","change_dean_t","Can change dean_t"
"83","21","delete_dean_t","Can delete dean_t"
"84","21","view_dean_t","Can view dean_t"
"85","22","add_co_t","Can add c o_t"
"86","22","change_co_t","Can change c o_t"
"87","22","delete_co_t","Can delete c o_t"
"88","22","view_co_t","Can view c o_t"
